word,tmin,order,logfrqhal,sndpwr,phrases,bin
the,27.97071268,1418,16.96,0.000099101,1,one
table,28.07846768,1419,10.93,0.00020308,3,three+
half,28.91656268,1420,11.18,0.0011431,2,two
hoping,29.15601868,1421,9.79,0.0005086,1,one
she,29.52717468,1422,13.1,0.0038348,2,two
might,29.70676668,1423,12.53,0.0028244,1,one
find,29.97016768,1424,12.84,0.00040783,1,one
another,30.23356968,1425,12.56,0.0040239,1,one
key,30.60134568,1426,11.47,4.6788E-07,2,two
on,30.87189968,1427,15.08,0.00019311,1,one
it,31.07166468,1428,15.37,0.00039697,4,three+
or,31.56254868,1429,14.78,0.0010312,1,one
at,31.76500368,1430,14.5,0.0012048,1,one
any,31.84989568,1431,13.95,0.016375,1,one
rate,32.14921568,1432,11.38,0.0017749,3,three+
a,32.46050768,1433,16.18,0.00031794,1,one
book,32.55502068,1434,12.16,0.014751,2,two
of,32.79574668,1435,16.21,0.0017243,1,one
rules,32.95139268,1436,11.29,0.0017879,5,three+
for,33.37043968,1437,15.42,1.2974E-06,1,one
shutting,33.46622268,1438,7.6,0.000001439,1,one
people,33.88526968,1439,13.55,0.024003,2,two
up,34.24679868,1440,13.74,0.00035659,2,two
like,34.42404568,1441,13.87,0.0084163,1,one
telescopes,34.62758268,1442,6.9,0.0070808,16,three+
this,36.50731068,1443,14.99,0.010243,1,one
time,36.78268468,1444,13.58,0.015856,2,two
she,37.18975968,1445,13.1,0.010742,2,two
found,37.38132468,1446,12.21,0.0066356,1,one
a,37.69563868,1447,16.18,0.0011415,1,one
little,37.82431768,1448,12.57,0.010016,1,one
bottle,38.20744668,1449,9.83,0.00025891,2,two
on,38.63846768,1450,15.08,2.628E-07,1,one
it,38.84414568,1451,15.37,2.0047E-07,6,three+
which,39.89560968,1452,13.8,0.017047,2,two
certainly,40.05125668,1453,11.19,0.020942,2,two
was,40.67384168,1454,14.56,0.021179,1,one
not,40.89738268,1455,14.77,0.010117,1,one
here,41.38023568,1456,13.08,0.015952,1,one
before,41.64335668,1457,12.75,0.0031449,6,three+
said,42.48531868,1458,12.77,0.011724,1,one
Alice,42.69526868,1459,8.65,0.0062019,5,three+
and,43.65506568,1460,16.19,0.00080464,1,one
round,43.78676668,1462,10.76,0.013779,2,two
the,44.02622268,1463,16.96,0.02004,1,one
neck,44.09805868,1464,9.61,0.015322,2,two
of,44.37813868,1465,16.21,0.0017207,1,one
the,44.50513368,1466,16.96,0.00098138,1,one
bottle,44.60091668,1467,9.83,0.00016605,4,three+
was,44.98404568,1468,14.56,0.0088864,1,one
a,45.14867568,1469,16.18,0.0011207,1,one
paper,45.19955568,1470,11.07,0.00084676,1,one
label,45.61860368,1471,10.04,0.0031928,2,two
with,46.21724268,1472,14.97,0.00072554,1,one
the,46.37288868,1473,16.96,4.0429E-07,1,one
words,46.46867168,1474,11.51,2.3089E-06,2,two
drink,47.09125668,1475,9.9,0.013359,1,one
me,47.47432668,1476,14.08,0.014096,2,two
beautifully,48.13288868,1477,7.79,0.000099054,2,two
printed,48.81763268,1478,9.93,0.0020337,1,one
on,49.19846768,1479,15.08,0.00039542,1,one
it,49.41284968,1480,15.37,0.01495,3,three+
in,49.50975968,1481,15.9,0.0043003,1,one
large,49.68486368,1482,11.81,0.011009,1,one
letters,50.09642668,1483,10.4,0.0012612,11,three+
It,51.05424968,1484,15.37,0.0026777,2,two
was,51.25778668,1485,14.56,0.01445,1,one
all,51.42878868,1486,14.35,0.0026666,1,one
very,51.71275268,1487,13.28,0.028767,1,one
well,52.07193668,1488,13.22,0.0021392,1,one
to,52.32336568,1489,16.35,5.1802E-06,1,one
say,52.38546568,1490,12.79,8.3109E-07,1,one
Drink,52.67957768,1491,9.9,2.8233E-06,1,one
me,53.07350368,1492,14.08,0.0077876,10,three+
but,53.44880768,1493,14.57,0.006774,1,one
the,53.58050768,1494,16.96,0.0017889,1,one
wise,53.68826368,1495,9.51,0.0016126,1,one
little,54.20309268,1496,12.57,0.021926,1,one
Alice,54.44927568,1497,8.65,0.010521,2,two
was,54.90948768,1498,14.56,0.011323,1,one
not,55.06830168,1499,14.77,0.0075341,1,one
going,55.29261668,1500,12.63,0.0019087,1,one
to,55.54404568,1501,16.35,0.0070112,1,one
do,55.66377368,1502,14.12,0.007364,1,one
that,55.85533768,1503,15.48,0.0020884,2,two
in,56.19057568,1504,15.9,0.00054713,1,one
a,56.36615368,1505,16.18,0.007616,1,one
hurry,56.44407368,1506,8.54,0.0018947,12,three+
No,0.432017422,1507,13.96,3.5391E-09,2,two
I,1.046814784,1508,15.79,3.6607E-09,2,two
ll,1.198493784,1509,14.35,4.0668E-09,1,one
look,1.394025784,1510,12.44,4.1914E-09,1,one
first,1.753209784,1511,13.16,3.8165E-09,5,three+
she,2.133840784,1512,13.1,3.3694E-09,2,two
said,2.351848784,1513,12.77,3.6079E-09,2,two
and,2.709578784,1514,16.19,3.6611E-09,1,one
see,2.789662784,1515,13.27,3.6691E-09,1,one
whether,3.118107784,1516,11.63,3.6223E-09,1,one
it,3.441372784,1517,15.37,3.643E-09,2,two
s,3.531518784,1518,15.68,4.0972E-09,1,one
marked,3.620964784,1519,9.64,3.7937E-09,1,one
poison,3.980148784,1520,8.54,3.4061E-09,4,three+
or,4.470263784,1521,14.78,3.5353E-09,1,one
not,4.591471784,1522,14.77,3.9908E-09,6,three+
for,5.488719784,1523,15.42,3.7789E-09,1,one
she,5.584501784,1524,13.1,3.9668E-09,2,two
had,5.805111784,1525,13.53,3.5324E-09,1,one
read,5.991576784,1526,12.58,3.7536E-09,1,one
several,6.219059784,1527,12.05,3.8068E-09,1,one
nice,6.747998784,1528,11.64,3.9385E-09,1,one
little,7.069127784,1529,12.57,4.2479E-09,1,one
histories,7.308583784,1530,10.6,3.7527E-09,2,two
about,7.957913784,1531,14.08,3.9056E-09,1,one
children,8.266406784,1532,11.47,3.7844E-09,2,two
who,8.711133784,1533,13.74,3.6265E-09,2,two
’d,8.810731784,1534,13.53,3.9317E-09,,FALSE
gotten,8.876990784,1535,12.61,3.8709E-09,1,one
burnt,9.320012784,1536,7.8,3.6763E-09,9,three+
and,10.15810778,1537,16.19,4.0567E-09,1,one
eaten,10.32572678,1538,8.36,3.8722E-09,1,one
up,10.61663678,1539,13.74,3.5991E-09,2,two
by,10.82858378,1540,14.4,3.8735E-09,1,one
